domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
alumni.state.gov,74754,228414,42568,3.055542178,242.4014635,71639
cac.mil,74754,143278,63333,1.916659978,140.7075742,73715
eg.usembassy.gov,74754,167157,43606,2.23609439,130.7770688,74754
nibib.nih.gov,74754,117322,67486,1.5694411,80.45790192,75792
response.restoration.noaa.gov,74754,106939,59180,1.430545523,106.9299703,72677
usmarshals.gov,74754,100710,45683,1.347218878,58.4163523,74754
educationusa.state.gov,73715,141201,65409,1.915498881,94.05678627,75792
espanol.epa.gov,73715,112130,71639,1.521128671,109.0709354,72677
ned.nih.gov,73715,279288,29071,3.788753985,177.91634,79945
accessgudid.nlm.nih.gov,72677,169234,40492,2.328577129,119.7001665,72677
insurekidsnow.gov,72677,115245,47759,1.585714875,60.75722718,72677
report.nih.gov,72677,113169,68524,1.55715013,125.6573194,66448
ae.usembassy.gov,71639,212840,45683,2.971007412,186.7967308,70601
afdc.energy.gov,71639,212840,65409,2.971007412,125.9707701,72677
docline.gov,71639,423604,16612,5.913036195,473.5787909,71639
lejeune.marines.mil,71639,100710,48797,1.405798518,45.28977233,75792
search.gsa.gov,71639,121475,49836,1.695654602,83.738969,63333
sites.ed.gov,71639,182731,68524,2.55071958,159.2460671,66448
wrnmmc.capmed.mil,71639,125628,44645,1.753625818,98.23168944,71639
dbcalc.usps.com,70601,211802,77868,2.999985836,138.8963046,64371
dodig.mil,70601,155737,16612,2.205875271,82.92602088,70601
nwis.waterdata.usgs.gov,70601,171310,56065,2.426452883,129.8963471,73715
consumidor.gov,69562,186884,59180,2.686581754,51.07489721,69562
nmfs.noaa.gov,69562,118360,62295,1.701503695,140.6873149,72677
transtats.bts.gov,69562,310435,67486,4.462709525,136.1947615,70601
charts.noaa.gov,68524,113169,49836,1.651523554,132.530544,70601
detrick.army.mil,68524,104863,23880,1.530310548,157.3790789,68524
hqmc.marines.mil,68524,184807,61256,2.696967486,172.879108,70601
dinfos.dma.mil,67486,138086,9344,2.046142904,179.9227692,67486
nas.er.usgs.gov,67486,131857,45683,1.953842278,76.84602732,68524
presidentialserviceawards.gov,67486,510816,31147,7.569214356,290.5225676,67486
cpms.osd.mil,66448,210764,45683,3.171863713,167.686582,68524
cpsearch.fas.gsa.gov,66448,417374,43606,6.281212377,353.0449524,95518
cumulis.epa.gov,66448,1039283,50874,15.64054599,1056.884872,72677
ntp.niehs.nih.gov,66448,267867,29071,4.031227426,224.686281,65409
sa.usembassy.gov,66448,164043,30109,2.468742475,168.9209608,65409
urs.earthdata.nasa.gov,66448,355080,41530,5.343727426,214.2957049,64371
cpars.cpars.gov,65409,1222014,29071,18.68265835,647.4007247,65409
